cow_id,animal_name,sire,parity,lactation_length_d,peak_day,peak_milk_kg,dry_period_d,milk_yield_kg
806017,Bente,L.Jet Bowser-ET,1,255.0,113.0,37.3,74.0,6116.6
804528,RICO,L.Jet Bowser XA,1,257.0,85.0,23.1,85.0,4692.0
806100,Sumer,L.Jet Bowser-ET,1,263.0,59.0,25.5,70.0,4905.6
803991,Vacu155,Brasilia,1,269.0,24.0,32.1,48.0,6927.0
803570,Anjani,L.Jet Bowser XA,1,269.0,61.0,35.4,53.0,8082.0
805464,Falco,Coyne PlanetET,1,271.0,56.0,24.4,69.0,4715.4
804627,MARIE,L.Jet Bowser-ET,1,271.0,70.0,26.5,45.0,4978.0
803870,Char,C. Dv. Creeton,1,272.0,56.0,24.2,50.0,5118.0
804430,Kasia,K-M.EpicSave-ET,1,272.0,98.0,31.3,47.0,6601.0
804077,Brok-001,Brasilia,1,272.0,65.0,30.7,49.0,7000.0
804437,REXIN,M.Z.Merlin.-XA,1,273.0,75.0,33.5,50.0,6861.0
804788,Boss-567,Jenny S.TrumpET,1,273.0,58.0,32.4,47.0,6893.5
805060,Arabia,Coyne PlanetET,1,273.0,77.0,25.0,57.0,4761.3
804401,Rento,MS Elso-ET,1,273.0,67.0,34.2,49.0,7606.0
803763,Adelia,M.Z.Merlin.-XA,1,273.0,91.0,31.9,49.0,7616.0
803753,Anita,Bull Mix,1,273.0,47.0,33.1,58.0,6762.0
803878,Harra 1,M.Z.Merlin ET,1,274.0,80.0,35.1,52.0,7224.0
803564,Dan-Dan,L.Jet Bowser XA,1,274.0,63.0,33.9,48.0,7842.0
804451,Pisa,C. Dv. Creeton,1,275.0,90.0,34.2,41.0,7840.0
804614,Caryl,L.Jet Bowser XA,1,276.0,76.0,30.2,70.0,6302.0
804770,Olivia,Coyne PlanetET,1,276.0,67.0,35.6,44.0,7460.0
804360,Audy,Jet Bowser XA,1,276.0,55.0,31.2,52.0,5940.0
803721,Corela,O.S.Elmer-XA,1,276.0,83.0,36.7,51.0,8240.0
